id_rumah_sakit,root_cause_primary,root_cause_secondary,root_cause_multilabel,root_cause_strength,root_cause_confidence_gap,cause_score_it_capability,cause_score_infrastructure,cause_score_adoption,cause_score_investment_conversion,cause_score_capacity,cause_score_integration
RS0114,Tidak ada bottleneck dominan,,Kesenjangan Adopsi,0.6986301369863014,0.17123287671232879,0.26027397260273977,0.452054794520548,0.6986301369863014,0.0,0.5273972602739726,0.0
RS0115,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.4336283185840708,0.04424778761061943,0.24778761061946908,0.3893805309734514,0.4336283185840708,0.0,0.2699115044247788,0.0
RS0116,Gap Konversi Investasi — indikator relatif,,Gap Konversi Investasi — indikator relatif,0.8230088495575221,0.3539823008849557,0.19469026548672563,0.11504424778761058,0.10619469026548678,0.8230088495575221,0.4690265486725664,0.0
RS0117,Gap Konversi Investasi — indikator relatif,,Gap Konversi Investasi — indikator relatif,0.7699115044247787,0.23008849557522126,0.4336283185840708,0.10619469026548678,0.5398230088495575,0.7699115044247787,0.23451327433628322,0.0
RS0118,Gap Konversi Investasi — indikator relatif,,Gap Konversi Investasi — indikator relatif,0.8082191780821918,0.2465753424657534,0.2191780821917808,0.273972602739726,0.4246575342465754,0.8082191780821918,0.5616438356164384,0.5
RS0119,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur,Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif,0.8125,0.0625,0.8125,0.75,0.1875,0.75,0.59375,0.0
RS0120,Kesenjangan Integrasi,Gap Konversi Investasi — indikator relatif,Kesenjangan Integrasi; Gap Konversi Investasi — indikator relatif,1.0,0.21621621621621623,0.16216216216216217,0.16216216216216217,0.08108108108108103,0.7837837837837838,0.17567567567567569,1.0
RS0121,Kesenjangan Infrastruktur,Gap Konversi Investasi — indikator relatif,Kesenjangan Infrastruktur; Gap Konversi Investasi — indikator relatif; Kesenjangan Adopsi,0.821917808219178,0.06849315068493145,0.4931506849315068,0.821917808219178,0.6849315068493151,0.7534246575342466,0.4520547945205479,0.0
RS0122,Kesenjangan Infrastruktur,,Kesenjangan Infrastruktur,0.9734513274336283,0.36283185840707954,0.07964601769911506,0.9734513274336283,0.6106194690265487,0.5575221238938053,0.2256637168141593,0.0
RS0123,Gap Konversi Investasi — indikator relatif,Kesenjangan Kapabilitas IT,Gap Konversi Investasi — indikator relatif; Kesenjangan Kapabilitas IT,0.8495575221238938,0.17699115044247793,0.6725663716814159,0.5221238938053097,0.48672566371681414,0.8495575221238938,0.5663716814159292,0.5
RS0124,Tidak ada bottleneck dominan,,Tekanan Kapasitas,0.6621621621621622,0.013513513513513487,0.6486486486486487,0.31081081081081086,0.22972972972972971,0.0,0.6621621621621622,0.0
